job_id,title,company,location,salary_raw,jd_raw,source,jd_text,salary_min,salary_max,salary_currency,skills
indeed_1_17,Assistant Manager - AI & Information Systems,Hays,Hong Kong,,長工,indeed,長工,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_1_21,"(Senior) AML Manager, AI development",Bank of China (Hong Kong) Limited,Hong Kong,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_22,Senior AML Manager / AML Manager - Fraud Risk,Bank of China (Hong Kong) Limited,Hong Kong,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_26,Senior AML Manager / AML Manager – Fraud Risk,Bank of China (Hong Kong) Limited,Hong Kong,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
indeed_2_30,Senior AML Manager / AML Manager - Fraud Risk (Regtech Project),Bank of China (Hong Kong) Limited,Hong Kong,,全職,indeed,全職,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
jobsdb_AI_engineer_p1_0,AI Automation Engineer (VTT358/J01),VTECH Corporate Services Ltd,Tai Po District,,Leverage AI agents to revolutionize connected devices at VTech. Fresh grads welcome for mentorship & flexible growth.,jobsdb,Leverage AI agents to revolutionize connected devices at VTech. Fresh grads welcome for mentorship flexible growth.,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
jobsdb_AI_engineer_p1_1,(Associate) AI/LLM Engineer — Multi-Agent Systems,AutoInsight Ltd,Hong Kong SAR,,"We're looking for a curious, self-driven engineer to join our AI engineering team. You'll work alongside experienced AI architects and engineers to...",jobsdb,"We re looking for a curious, self-driven engineer to join our AI engineering team. You ll work alongside experienced AI architects and engineers to...",,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
jobsdb_AI_engineer_p1_2,AI Engineer Lead / AI Engineer,Automated Systems (HK) Ltd,Hong Kong SAR,,Lead AI feature design and RAG optimization while mentoring juniors; requires a related degree and 2 years of experience with Python and LLMs.,jobsdb,Lead AI feature design and RAG optimization while mentoring juniors; requires a related degree and 2 years of experience with Python and LLMs.,,,HKD,"{'programming_languages': ['Python'], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': ['Mentoring']}"
jobsdb_AI_engineer_p1_3,AI Engineer,APJ Software (Hong Kong) Company Limited,Kowloon Bay,"$30,000 – $40,000 per month","AI Engineer role developing, testing and maintaining AI apps, implementing prompts, RAG and AI agents, and supporting legacy modernization with GenAI.",jobsdb,"AI Engineer role developing, testing and maintaining AI apps, implementing prompts, RAG and AI agents, and supporting legacy modernization with GenAI.",40000.0,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
jobsdb_AI_engineer_p1_4,Technical Analyst (AI Data Engineer),Orient Overseas Container Line Ltd (OOCL),Sha Tin District,,"If you're seeking a challenging technical position that offers high level of autonomy, and a strong sense of teamwork, here comes the opportunity!",jobsdb,"If you re seeking a challenging technical position that offers high level of autonomy, and a strong sense of teamwork, here comes the opportunity!",,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': ['Teamwork']}"
jobsdb_AI_engineer_p2_10,Robotics Navigation & Embodied AI Engineer,AIDEA TECHNOLOGEIS LIMITED,Sha Tin District,"$30,000 – $40,000 per month",全职核心技术岗，深度参与家用康养机器人硬件选型、算法设计、系统集成与产品迭代全流程，项目主导权与实践空间充足。团队由多模态感知、AI、机器人及硬件工程资深专家组成，技术氛围浓厚。公司提供有竞争力薪酬、香港工作签证及长期激励，助力员工在具身智能、康养机器人领域快速成长，推动产品从原型落地真实家庭场景。,jobsdb,全职核心技术岗 深度参与家用康养机器人硬件选型 算法设计 系统集成与产品迭代全流程 项目主导权与实践空间充足 团队由多模态感知 AI 机器人及硬件工程资深专家组成 技术氛围浓厚 公司提供有竞争力薪酬 香港工作签证及长期激励 助力员工在具身智能 康养机器人领域快速成长 推动产品从原型落地真实家庭场景,40000.0,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
jobsdb_AI_engineer_p2_11,AI Engineer,SmarTone Telecommunications Limited,Ngau Tau Kok,,"Taking Gen AI use cases from concept to production, implement solutions using Microsoft Copilot and Amazon Bedrock for commercial deployment.",jobsdb,"Taking Gen AI use cases from concept to production, implement solutions using Microsoft Copilot and Amazon Bedrock for commercial deployment.",,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
jobsdb_AI_engineer_p2_12,AI Engineer,KOS International Limited,Quarry Bay,Negotiable,Our client is looking for AI Engineer to join their team.,jobsdb,Our client is looking for AI Engineer to join their team.,,,HKD,"{'programming_languages': [], 'frameworks_libraries': [], 'cloud_devops': [], 'databases': [], 'soft_skills': []}"
